RoiName:,Aortic ascending flow,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RL[mm],AP[mm],FH[mm],,,,,,,,,,,,,,,,,,,,,,,,,
TopLeftCorner,-7.225985771,-49.20658036,12.86015773,,,,,,,,,,,,,,,,,,,,,,,,,
TopRightCorner,26.68025462,-49.20658036,12.88568114,,,,,,,,,,,,,,,,,,,,,,,,,
BottomRightCorner,26.68014248,-11.66781349,13.03466053,,,,,,,,,,,,,,,,,,,,,,,,,
BottomLeftCorner,-7.226097918,-11.66781349,13.00913712,,,,,,,,,,,,,,,,,,,,,,,,,
ResolutionRows[mm]:,1.2109375,,,,,,,,,,,,,,,,,,,,,,,,,,,
ResolutionCols[mm]:,1.2109375,,,,,,,,,,,,,,,,,,,,,,,,,,,
VelocityScale[cm/s],,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time [ms]:,26.23076923,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,-18.02197647,-18.41270828,-11.0866909,-2.002441883,2.881550789,-0.732600689,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,7.765555382,11.86814308,-2.588510513,-13.23565292,-10.79364967,-3.95604372,1.123332977,4.93285656,4.444432259,-2.295482159,-8.351659775,-8.253967285,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,-9.328449249,11.77043915,17.53358841,5.518913269,-5.714273453,-4.053723812,0.146508217,0.439548492,1.221013069,3.858375549,1.221013069,-6.398046017,-9.816848755,0.634908676,17.33820343,0,0,0,0,0,0,0
0,0,0,0,0,0,2.686214447,-2.490842342,8.253955841,15.09156227,11.57507896,3.272271156,0.244212151,-1.514041424,-5.128204823,-5.811965466,-1.807081699,-1.611721516,-6.007325649,-9.719181061,-5.616605282,2.29549408,0.634908676,0,0,0,0,0,0
0,0,0,0,0,0,4.542136192,3.565311432,3.663015366,5.421257019,8.351659775,7.374858856,-0.537252426,-8.547008514,-11.77045059,-9.719181061,-7.08180666,-6.593394279,-4.932844639,-3.272283077,-6.593394279,-11.28206253,-9.230768204,-5.616605282,0,0,0,0,0
0,0,0,0,0,-5.225896835,7.863259315,10.20755768,3.076910973,-3.663015366,-0.146520138,2.881550789,-4.639804363,-11.96579933,-10.69597054,-5.811965466,-6.007325649,-6.788778305,0.244212151,7.667899132,1.416373253,-13.82173347,-14.89621353,-5.128204823,-1.709401608,0,0,0,0
0,0,0,0,0,-6.398046017,10.10990143,14.21244144,6.886434555,-2.783894539,-3.174602985,-2.588510513,-5.909657478,-8.253967285,-5.616605282,-2.588510513,-4.053723812,-4.639804363,2.588510513,10.10990143,6.984138489,-5.128204823,-12.74725151,-8.253967285,-2.295482159,0,0,0,0
0,0,0,0,-19.58485794,-6.593394279,5.714273453,12.25883961,11.37971878,3.663015366,-2.588510513,-3.858363628,-3.174602985,-3.076922894,-4.151391983,-4.932844639,-4.053723812,-2.002441883,1.416373253,3.956031799,3.174614906,-1.31868124,-7.472538948,-8.840036392,-4.542124271,2.39315033,0,0,0
0,0,0,0,-7.863247395,-5.51892519,-1.416361332,6.007313728,9.816837311,2.881550789,-3.369963169,-2.686202526,0.439548492,-0.830280781,-7.277154922,-10.40291786,-6.398046017,0.439548492,1.90474987,-2.686202526,-6.105005741,-6.593394279,-5.421245098,-3.858363628,-2.783894539,-1.31868124,0,0,0
